| station       | antenna             | feed                     | front-end        | node-bulkhead   | post-amp     | snap                  | node      |      start |       stop |
|---------------+---------------------+--------------------------+------------------+-----------------+--------------+-----------------------+-----------+------------+------------|
| HH0 <ground   | ground> A0 <focus   | input> FDV1 <terminals   | input> FEM016 <e | e1> NBP00 <e1   | e> PAM022 <e | e2> SNPC000072 <rack  | loc0> N00 | 1266919218 |            |
| HH0 <ground   | ground> A0 <focus   | input> FDV1 <terminals   | input> FEM016 <n | n1> NBP00 <n1   | n> PAM022 <n | n0> SNPC000072 <rack  | loc0> N00 | 1266919218 |            |
| HH1 <ground   | ground> A1 <focus   | input> FDV2 <terminals   | input> FEM018 <e | e3> NBP00 <e3   | e> PAM024 <e | e10> SNPC000072 <rack | loc0> N00 | 1266919218 |            |
| HH1 <ground   | ground> A1 <focus   | input> FDV2 <terminals   | input> FEM018 <n | n3> NBP00 <n3   | n> PAM024 <n | n8> SNPC000072 <rack  | loc0> N00 | 1266919218 |            |
| HH2 <ground   | ground> A2 <focus   | input> FDV8 <terminals   | input> FEM040 <e | e2> NBP00 <e2   | e> PAM048 <e | e6> SNPC000072 <rack  | loc0> N00 | 1266919218 |            |
| HH2 <ground   | ground> A2 <focus   | input> FDV8 <terminals   | input> FEM040 <n | n2> NBP00 <n2   | n> PAM048 <n | n4> SNPC000072 <rack  | loc0> N00 | 1266919218 |            |
| HH3 <ground   | ground> A3 <focus   | input> FDV156 <terminals | input> FEM212 <e | e7> NBP01 <e7   | e> PAM215 <e | e2> SNPC000067 <rack  | loc2> N01 | 1284255318 |            |
| HH3 <ground   | ground> A3 <focus   | input> FDV156 <terminals | input> FEM212 <n | n7> NBP01 <n7   | n> PAM215 <n | n0> SNPC000067 <rack  | loc2> N01 | 1284255318 |            |
| HH4 <ground   | ground> A4 <focus   | input> FDV147 <terminals | input> FEM205 <e | e8> NBP01 <e8   | e> PAM216 <e | e6> SNPC000067 <rack  | loc2> N01 | 1284255318 |            |
| HH4 <ground   | ground> A4 <focus   | input> FDV147 <terminals | input> FEM205 <n | n8> NBP01 <n8   | n> PAM216 <n | n4> SNPC000067 <rack  | loc2> N01 | 1284255318 |            |
| HH5 <ground   | ground> A5 <focus   | input> FDV150 <terminals | input> FEM215 <e | e9> NBP01 <e9   | e> PAM217 <e | e10> SNPC000067 <rack | loc2> N01 | 1284255318 |            |
| HH5 <ground   | ground> A5 <focus   | input> FDV150 <terminals | input> FEM215 <n | n9> NBP01 <n9   | n> PAM217 <n | n8> SNPC000067 <rack  | loc2> N01 | 1284255318 |            |
| HH11 <ground  | ground> A11 <focus  | input> FDV9 <terminals   | input> FEM045 <e | e4> NBP00 <e4   | e> PAM052 <e | e2> SNPA000008 <rack  | loc1> N00 | 1242126018 |            |
| HH11 <ground  | ground> A11 <focus  | input> FDV9 <terminals   | input> FEM045 <n | n4> NBP00 <n4   | n> PAM052 <n | n0> SNPA000008 <rack  | loc1> N00 | 1242126018 |            |
| HH12 <ground  | ground> A12 <focus  | input> FDV3 <terminals   | input> FEM041 <e | e5> NBP00 <e5   | e> PAM050 <e | e6> SNPA000008 <rack  | loc1> N00 | 1242126018 |            |
| HH12 <ground  | ground> A12 <focus  | input> FDV3 <terminals   | input> FEM041 <n | n5> NBP00 <n5   | n> PAM050 <n | n4> SNPA000008 <rack  | loc1> N00 | 1242126018 |            |
| HH13 <ground  | ground> A13 <focus  | input> FDV4 <terminals   | input> FEM021 <e | e6> NBP00 <e6   | e> PAM027 <e | e10> SNPA000008 <rack | loc1> N00 | 1234351818 |            |
| HH13 <ground  | ground> A13 <focus  | input> FDV4 <terminals   | input> FEM021 <n | n6> NBP00 <n6   | n> PAM027 <n | n8> SNPA000008 <rack  | loc1> N00 | 1234351818 |            |
| HH14 <ground  | ground> A14 <focus  | input> FDV5 <terminals   | input> FEM022 <e | e7> NBP00 <e7   | e> PAM047 <e | e2> SNPA000024 <rack  | loc2> N00 | 1241695818 |            |
| HH14 <ground  | ground> A14 <focus  | input> FDV5 <terminals   | input> FEM022 <n | n7> NBP00 <n7   | n> PAM047 <n | n0> SNPA000024 <rack  | loc2> N00 | 1241695818 |            |
| HH15 <ground  | ground> A15 <focus  | input> FDV165 <terminals | input> FEM210 <e | e10> NBP01 <e10 | e> PAM218 <e | e2> SNPC000064 <rack  | loc3> N01 | 1284255318 |            |
| HH15 <ground  | ground> A15 <focus  | input> FDV165 <terminals | input> FEM210 <n | n10> NBP01 <n10 | n> PAM218 <n | n0> SNPC000064 <rack  | loc3> N01 | 1284255318 |            |
| HH16 <ground  | ground> A16 <focus  | input> FDV149 <terminals | input> FEM204 <e | e11> NBP01 <e11 | e> PAM219 <e | e6> SNPC000064 <rack  | loc3> N01 | 1284255318 |            |
| HH16 <ground  | ground> A16 <focus  | input> FDV149 <terminals | input> FEM204 <n | n11> NBP01 <n11 | n> PAM219 <n | n4> SNPC000064 <rack  | loc3> N01 | 1284255318 |            |
| HH17 <ground  | ground> A17 <focus  | input> FDV151 <terminals | input> FEM209 <e | e12> NBP01 <e12 | e> PAM220 <e | e10> SNPC000064 <rack | loc3> N01 | 1284255318 |            |
| HH17 <ground  | ground> A17 <focus  | input> FDV151 <terminals | input> FEM209 <n | n12> NBP01 <n12 | n> PAM220 <n | n8> SNPC000064 <rack  | loc3> N01 | 1284255318 |            |
| HH18 <ground  | ground> A18 <focus  | input> FDV148 <terminals | input> FEM217 <e | e1> NBP01 <e1   | e> PAM209 <e | e2> SNPC000063 <rack  | loc0> N01 | 1284255318 |            |
