Name  Number   BeamID   E          N          U 
HH0          0        0  -105.0353  -110.7221     0.9182
HH1          1        0   -90.4275  -110.6663     0.9184
HH2          2        0   -75.8196  -110.6105     0.9686
HH3          3        0   -61.2118  -110.5547     0.8487
HH4          4        0   -46.6039  -110.4989     0.8389
HH5          5        0   -31.9961  -110.4431     0.8390
HH11        11        0  -112.3875   -98.1031     0.8083
HH12        12        0   -97.7797   -98.0474     0.7285
HH13        13        0   -83.1718   -97.9916     0.6987
HH14        14        0   -68.5640   -97.9358     0.7789
HH15        15        0   -53.9562   -97.8800     0.7190
HH16        16        0   -39.3483   -97.8242     0.7191
HH17        17        0   -24.7405   -97.7684     0.7092
HH18        18        0   -10.1326   -97.7126     0.7192
HH23        23        0  -119.7398   -85.4742     0.6683
HH24        24        0  -105.1319   -85.4184     0.6886
HH25        25        0   -90.5241   -85.3627     0.7388
HH26        26        0   -75.9162   -85.3069     0.6490
HH27        27        0   -61.3084   -85.2511     0.7491
HH28        28        0   -46.7006   -85.1953     0.6193
HH29        29        0   -32.0927   -85.1395     0.5893
HH30        30        0   -17.4849   -85.0837     0.5794
HH36        36        0  -127.0920   -72.8553     0.4783
HH37        37        0  -112.4842   -72.7995     0.5986
HH38        38        0   -97.8763   -72.7437     0.5688
HH39        39        0   -83.2685   -72.6880     0.5190
HH40        40        0   -68.6606   -72.6322     0.5592
HH41        41        0   -54.0528   -72.5764     0.4894
HH42        42        0   -39.4449   -72.5206     0.4795
HH43        43        0   -24.8371   -72.4648     0.4695
HH44        44        0   -10.2293   -72.4090     0.4896
HH45        45        0     4.3786   -72.3532     0.4996
HH46        46        0    18.9864   -72.2974     0.5596
HH50        50        0  -134.4442   -60.2264     0.3283
HH51        51        0  -119.8364   -60.1706     0.3386
HH52        52        0  -105.2286   -60.1148     0.3788
HH53        53        0   -90.6207   -60.0590     0.3891
HH54        54        0   -76.0129   -60.0033     0.3893
HH55        55        0   -61.4050   -59.9475     0.3594
HH56        56        0   -46.7972   -59.8917     0.3695
HH57        57        0   -32.1894   -59.8359     0.3796
HH58        58        0   -17.5815   -59.7801     0.3497
HH59        59        0    -2.9737   -59.7243     0.3497
HH60        60        0    11.6342   -59.6685     0.3597
HH65        65        0  -141.7965   -47.6075     0.2382
HH66        66        0  -127.1886   -47.5517     0.2286
HH67        67        0  -112.5808   -47.4959     0.2088
HH68        68        0   -97.9729   -47.4401     0.1791
HH69        69        0   -83.3651   -47.3844     0.1993
HH70        70        0   -68.7573   -47.3286     0.2295
HH71        71        0   -54.1494   -47.2728     0.3396
HH72        72        0   -39.5416   -47.2170     0.2997
HH73        73        0   -24.9337   -47.1612     0.3098
