Name  Number   BeamID   E          N          U 
HH176      176        0  -164.0142    32.4319    -0.6022
HH177      177        0  -149.4064    32.4877    -0.5718
HH178      178        0  -134.7985    32.5435    -0.5715
HH179      179        0  -120.1907    32.5992    -0.5812
HH180      180        0  -105.5828    32.6550    -0.5710
HH181      181        0   -90.9750    32.7108    -0.5507
HH182      182        0   -76.3672    32.7666    -0.5405
HH183      183        0   -61.7593    32.8224    -0.5504
HH184      184        0   -47.1515    32.8782    -0.5303
HH185      185        0   -32.5436    32.9340    -0.5302
HH186      186        0   -17.9358    32.9898    -0.5201
HH187      187        0    -3.2958    24.6110    -0.4200
HH189      189        0    25.9199    24.7226    -0.4301
HH190      190        0    40.5278    24.7784    -0.4002
HH191      191        0    55.1356    24.8342    -0.4103
